ms_today;input_voltage;temp_mos_max;temp_mos_1;temp_mos_2;temp_mos_3;temp_motor;current_motor;current_in;d_axis_current;q_axis_current;erpm;duty_cycle;amp_hours_used;amp_hours_charged;watt_hours_used;watt_hours_charged;tachometer;tachometer_abs;encoder_position;fault_code;vesc_id;d_axis_voltage;q_axis_voltage;ms_today_setup;amp_hours_setup;amp_hours_charged_setup;watt_hours_setup;watt_hours_charged_setup;battery_level;battery_wh_tot;current_in_setup;current_motor_setup;speed_meters_per_sec;tacho_meters;tacho_abs_meters;num_vescs;ms_today_imu;roll;pitch;yaw;accX;accY;accZ;gyroX;gyroY;gyroZ;gnss_posTime;gnss_lat;gnss_lon;gnss_alt;gnss_gVel;gnss_vVel;gnss_hAcc;gnss_vAcc;
76231191;80.9;29.7;29.2;0;29.7;39.2;-0.02;0;-0.01;0.01;0;0.001;1.0983;0.3283;84.9803;27.2107;341778;346586;176.4;0;1;-0.067;0.024;76231148;1.0983;0.3283;84.9803;27.2107;0.85;535.165;0;0;0;3221.18;3266.5;1;76185555;-0.0364214;0.310431;2.43535;-0.309824;0.0411396;0.941202;0.00521243;0.0490348;0.0379155;76228000;47.59967103;-122.83038419;104.43475596;0.00000000;0.00000000;4.39809132;3.00000000;
76231283;80.9;29.7;29.2;0;29.6;39.2;0;0;0;0;0;0.001;1.0983;0.3283;84.9803;27.2107;341778;346586;176.4;0;1;-0.066;0.033;76231233;1.0983;0.3283;84.9803;27.2107;0.85;535.165;0;0;0;3221.18;3266.5;1;76231232;-0.0209131;0.312552;2.3191;-0.303845;0.0157195;0.941322;0.378344;-0.298405;0.289824;76228000;47.59967103;-122.83038419;104.43475596;0.00000000;0.00000000;4.39809132;3.00000000;
76231374;80.9;29.7;29.2;0;29.7;39.2;0;0;0;0;0;0.001;1.0983;0.3283;84.9803;27.2107;341778;346586;176.4;0;1;-0.066;0.033;76231322;1.0983;0.3283;84.9803;27.2107;0.85;535.165;0;0;0;3221.18;3266.5;1;76231323;-0.0212613;0.312031;2.31879;-0.306608;0.0114054;0.947461;0.232762;0.14301;0.293398;76228000;47.59967103;-122.83038419;104.43475596;0.00000000;0.00000000;4.39809132;3.00000000;
76231458;80.9;29.7;29.2;0;29.6;39.2;0;0;0;0;0;0.001;1.0983;0.3283;84.9803;27.2107;341778;346586;176.4;0;1;-0.066;0.033;76231416;1.0983;0.3283;84.9803;27.2107;0.85;535.165;0;0;0;3221.18;3266.5;1;76231416;-0.0213059;0.311867;2.31854;-0.309278;0.0108346;0.94251;-0.197866;-0.02006;0.126713;76228000;47.59967103;-122.83038419;104.43475596;0.00000000;0.00000000;4.39809132;3.00000000;
76231545;80.9;29.7;29.2;0;29.7;39.2;0;0;0;0;0;0.001;1.0983;0.3283;84.9803;27.2107;341778;346586;176.4;0;1;-0.066;0.033;76231508;1.0983;0.3283;84.9803;27.2107;0.85;535.165;0;0;0;3221.18;3266.5;1;76231508;-0.0205912;0.311597;2.3185;-0.306395;0.0026467;0.942832;-0.476795;-0.299795;0.154049;76228000;47.59967103;-122.83038419;104.43475596;0.00000000;0.00000000;4.39809132;3.00000000;
76231639;80.9;29.6;29.3;0;29.6;39.2;0;0;0;0;0;0.001;1.0983;0.3283;84.9803;27.2107;341778;346586;176.4;0;1;-0.066;0.034;76231597;1.0983;0.3283;84.9803;27.2107;0.85;535.165;0;0;0;3221.18;3266.5;1;76231598;-0.0208416;0.311924;2.31813;-0.305303;0.010841;0.943544;0.517809;0.471429;0.269709;76228000;47.59967103;-122.83038419;104.43475596;0.00000000;0.00000000;4.39809132;3.00000000;
76231729;80.9;29.7;29.2;0;29.6;39.2;0;0;0;0;0;0.001;1.0983;0.3283;84.9803;27.2107;341778;346586;176.4;0;1;-0.066;0.033;76231681;1.0983;0.3283;84.9803;27.2107;0.85;535.165;0;0;0;3221.18;3266.5;1;76231682;-0.0211288;0.312471;2.31776;-0.304732;0.00645876;0.944008;0.0113302;0.189741;0.106211;76228000;47.59967103;-122.83038419;104.43475596;0.00000000;0.00000000;4.39809132;3.00000000;
76231817;80.9;29.7;29.2;0;29.7;39.2;0;0;0;0;0;0.001;1.0983;0.3283;84.9803;27.2107;341778;346586;176.4;0;1;-0.066;0.033;76231771;1.0983;0.3283;84.9803;27.2107;0.85;535.165;0;0;0;3221.18;3266.5;1;76231773;-0.0208878;0.312741;2.3176;-0.3048;0.0054177;0.944056;-0.279834;0.328557;-0.0102086;76229000;47.59967103;-122.83038419;104.70318602;0.00000000;0.00000000;4.39826536;3.00000000;
76231956;80.9;29.6;29.2;0;29.6;39.2;0;0;0;0;0;0.001;1.0983;0.3283;84.9803;27.2107;341778;346586;176.4;0;1;-0.066;0.033;76231906;1.0983;0.3283;84.9803;27.2107;0.85;535.165;0;0;0;3221.18;3266.5;1;76231907;-0.0205302;0.312912;2.31741;-0.306327;0.0129593;0.943888;-0.191748;0.190643;0.194292;76229000;47.59967103;-122.83038419;104.70318602;0.00000000;0.00000000;4.39826536;3.00000000;
76232047;80.9;29.7;29.3;0;29.7;39.2;0;0;0;0;0;0.001;1.0983;0.3283;84.9803;27.2107;341778;346586;176.4;0;1;-0.066;0.033;76232000;1.0983;0.3283;84.9803;27.2107;0.85;535.165;0;0;0;3221.18;3266.5;1;76232000;-0.0198589;0.31325;2.31722;-0.301303;0.0216431;0.943587;-0.267598;-0.0199974;0.13283;76229000;47.59967103;-122.83038419;104.70318602;0.00000000;0.00000000;4.39826536;3.00000000;
