ride_id,sample_idx,_elapsed_ms,ts_utc,ts_pst,ms_today,cf_accel,cf_brake,cf_cruise,cf_turn_left,cf_turn_right,cf_carve_left,cf_carve_right,cf_ascent,cf_descent,cf_traction_loss,cf_idle,cf_forward,cf_reverse,speed_meters_per_sec,erpm,duty_cycle,current_in,current_motor,d_axis_current,q_axis_current,roll,pitch,yaw,accX,accY,accZ,gyroX,gyroY,gyroZ,gnss_lat,fault_code,d_axis_voltage,q_axis_voltage,tacho_meters,tacho_abs_meters,gnss_lon,gnss_alt,gnss_gVel,gnss_vVel,input_voltage,temp_mos_max,temp_motor,battery_level,dt_ms,_on_grid
ride_47,0,0.0,2025-10-02 20:43:41.978000+00:00,2025-10-02 13:43:41.978,74621978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,-0.04,-0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5983895,0.0,-0.052,0.015,-0.122,0.235,-122.8307683,104.30000305,0.0,0.0,83.6,20.8,19.9,0.99,100,True
,1,100.0,2025-10-02 20:43:42.078000+00:00,2025-10-02 13:43:42.078,74622078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0470544255639097,0.4005395563909774,0.131042015037594,-0.3826755187969924,-0.0414076842105263,0.9124313984962408,-0.1567994060150375,0.1128084796992481,-0.159339932330827,47.5983895,,-0.0599398496240601,-0.0429398496240601,-0.122,0.235,-122.8307683,104.30000305,0.0,0.0,83.6,20.8,19.9,0.99,100,True
,2,200.0,2025-10-02 20:43:42.178000+00:00,2025-10-02 13:43:42.178,74622178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0472422451127819,0.4006215112781955,0.1312172030075188,-0.3841695037593985,-0.0392087368421052,0.912423879699248,-0.2092294812030075,0.0602269759398496,-0.1542015864661654,47.5983895,,-0.059187969924812,-0.042187969924812,-0.122,0.235,-122.8307683,104.30000305,0.0,0.0,83.6,20.8,19.9,0.99,100,True
,3,300.0,2025-10-02 20:43:42.278000+00:00,2025-10-02 13:43:42.278,74622278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0479631516129032,0.4007258709677419,0.1316924516129032,-0.3845776774193548,-0.0386630322580645,0.9124711935483872,-0.4571474838709677,0.0461325677419354,-0.2456484516129032,47.5983895,,-0.059,-0.0428064516129032,-0.122,0.235,-122.8307683,104.30000305,0.0,0.0,83.6,20.8,19.9,0.99,100,True
,4,400.0,2025-10-02 20:43:42.378000+00:00,2025-10-02 13:43:42.378,74622378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0490262094736842,0.4007649894736842,0.1322077263157894,-0.3857564421052631,-0.0429138442105263,0.912522705263158,-0.3772801473684211,0.1080626989473684,-0.0985234189473684,47.5983895,,-0.0598631578947368,-0.0421368421052631,-0.122,0.235,-122.8307683,104.30000305,0.0,0.0,83.6,20.8,19.9,0.99,100,True
,5,500.0,2025-10-02 20:43:42.478000+00:00,2025-10-02 13:43:42.478,74622478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0494226350364963,0.4000448248175182,0.1324861386861314,-0.3821821751824817,-0.0387177226277372,0.9119228540145986,0.1821157875912409,-0.7017460145985401,-0.1771485642335766,47.5983895,,-0.059,-0.042948905109489,-0.122,0.235,-122.8307683,104.30000305,0.0,0.0,83.6,20.8,19.9,0.99,100,True
,6,600.0,2025-10-02 20:43:42.578000+00:00,2025-10-02 13:43:42.578,74622578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0493759927007299,0.3994280364963504,0.1326452627737226,-0.3810989635036496,-0.0400994744525547,0.911692197080292,-0.0170158182481751,-0.3944890802919708,-0.1115280532846715,47.5983895,,-0.059,-0.0422189781021897,-0.122,0.235,-122.8307683,104.30000305,0.0,0.0,83.6,20.8,19.9,0.99,100,True
,7,700.0,2025-10-02 20:43:42.678000+00:00,2025-10-02 13:43:42.678,74622678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0494098333333333,0.3991846666666667,0.1328235208333333,-0.3839888958333333,-0.0402832916666666,0.9118031041666668,-0.0348308416666666,-0.0482031041666666,-0.2006015562499999,47.5983895,,-0.0597291666666666,-0.042,-0.122,0.235,-122.8307683,104.30000305,0.0,0.0,83.6,20.8,19.9,0.99,100,True
,8,800.0,2025-10-02 20:43:42.778000+00:00,2025-10-02 13:43:42.778,74622778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0494060651685393,0.3988911123595506,0.1329759325842696,-0.3814173146067415,-0.035269615730337,0.9118974382022472,-0.1301309382022472,-0.0113215415730337,-0.1722536629213483,47.5983895,,-0.0591685393258426,-0.0428314606741573,-0.122,0.235,-122.8307683,104.30000305,0.0,0.0,83.6,20.8,19.9,0.99,100,True
,9,900.0,2025-10-02 20:43:42.878000+00:00,2025-10-02 13:43:42.878,74622878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.049584680620155,0.3985691395348837,0.1331531627906976,-0.3797157054263566,-0.0403080062015503,0.9119273798449612,-0.152605,-0.1613419472868217,-0.1569023333333333,47.5983895,,-0.059,-0.0423410852713178,-0.122,0.235,-122.8307683,104.30000305,0.0,0.0,83.6,20.8,19.9,0.99,100,True
,10,1000.0,2025-10-02 20:43:42.978000+00:00,2025-10-02 13:43:42.978,74622978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0495325555555555,0.3982990888888889,0.1333453777777777,-0.3814108888888889,-0.0430995644444444,0.9122629333333332,-0.0734407244444444,-0.1903786222222222,-0.2510012666666666,47.5983895,,-0.059,-0.0413777777777777,-0.122,0.235,-122.8307683,104.30000305,0.0,0.0,83.6,20.8,19.9,0.99,100,True
,11,1100.0,2025-10-02 20:43:43.078000+00:00,2025-10-02 13:43:43.078,74623078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0493193933333333,0.3983377999999999,0.1335266666666666,-0.3806024666666667,-0.0411942733333333,0.9128447333333334,-0.0164038533333333,0.1445083333333333,-0.2094614,47.5983895,,-0.059,-0.0417333333333333,-0.122,0.235,-122.8307683,104.30000305,0.0,0.0,83.6,20.8,19.9,0.99,100,True
,12,1200.0,2025-10-02 20:43:43.178000+00:00,2025-10-02 13:43:43.178,74623178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0493828955555555,0.3984933111111111,0.1337596888888889,-0.3822539333333333,-0.0397445044444444,0.9131277111111112,-0.0720258844444444,0.2569353555555555,-0.1682535333333333,47.5983895,,-0.0598444444444444,-0.042,-0.122,0.235,-122.8307683,104.30000305,0.0,0.0,83.6,20.8,19.9,0.99,100,True
,13,1300.0,2025-10-02 20:43:43.278000+00:00,2025-10-02 13:43:43.278,74623278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0494921882352941,0.3984849117647058,0.1339442352941176,-0.385403044117647,-0.0417776073529411,0.913125544117647,0.009186169117647,0.1245302308823529,-0.1295865735294117,47.5983895,,-0.0593676470588235,-0.042,-0.122,0.235,-122.8307683,104.30000305,0.0,0.0,83.6,20.8,19.9,0.99,100,True
,14,1400.0,2025-10-02 20:43:43.378000+00:00,2025-10-02 13:43:43.378,74623378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0491278,0.39848,0.1340385,-0.3841595,-0.04081015,0.9130965,0.138559,0.04819595,-0.044048,47.5983895,,-0.059,-0.042,-0.122,0.235,-122.8307683,104.30000305,0.0,0.0,83.6,20.8,19.9,0.99,100,True
,15,1500.0,2025-10-02 20:43:43.478000+00:00,2025-10-02 13:43:43.478,74623478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0484597954545454,0.3985414318181818,0.1340681590909091,-0.3814177272727272,-0.0410755068181818,0.913077181818182,0.1282158181818181,0.0878776818181818,-0.0531290454545454,47.5983895,,-0.059,-0.042,-0.122,0.235,-122.8307683,104.30000305,0.0,0.0,83.6,20.8,19.9,0.99,100,True
