ride_id,sample_idx,_elapsed_ms,ts_utc,ts_pst,video_ts_anchor,ms_today,cf_accel,cf_brake,cf_cruise,cf_turn_left,cf_turn_right,cf_carve_left,cf_carve_right,cf_ascent,cf_descent,cf_traction_loss,cf_idle,cf_forward,cf_reverse,speed_meters_per_sec,erpm,duty_cycle,current_in,current_motor,d_axis_current,q_axis_current,roll,pitch,yaw,accX,accY,accZ,gyroX,gyroY,gyroZ,gnss_lat,fault_code,d_axis_voltage,q_axis_voltage,tacho_meters,tacho_abs_meters,gnss_lon,gnss_alt,gnss_gVel,gnss_vVel,input_voltage,temp_mos_max,temp_motor,battery_level,dt_ms,_on_grid
ride_51,0,0.0,2025-10-02 20:54:40.363000+00:00,2025-10-02 13:54:40.363,00:00:05.2,75280363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.52,2.19,-0.01,2.22,0.0645131,0.308498,1.51858,-0.306924,-0.0632344,0.94356,-0.052284,0.0505247,0.18349,47.59983475,0.0,-0.161,1.667,1918.3,1926.74,-122.82570734,103.01206214,0.0,0.0,81.2,26.5,30.6,0.868,100,True
,1,100.0,2025-10-02 20:54:40.463000+00:00,2025-10-02 13:54:40.463,00:00:05.3,75280463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0501082072289156,0.3400964819277108,2.387369156626506,-0.3286897951807229,-0.0452310048192771,0.9354997710843374,-0.0592863084337349,0.2394569204819276,0.1017379445783132,47.59983475,,-0.066,0.034,1918.3,1926.74,-122.82570734,103.01189887638554,0.0,0.0,81.2,26.5,30.6,0.868,100,True
,2,200.0,2025-10-02 20:54:40.563000+00:00,2025-10-02 13:54:40.563,00:00:05.4,75280563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0502583144444444,0.3403179666666667,2.387201888888889,-0.3308704888888888,-0.04718921,0.9355185777777778,-0.0675105988888889,0.0145279644444444,0.0102937255555555,47.59983475,,-0.066,0.034,1918.3,1926.74,-122.82570734,103.00980366,0.0,0.0,81.2,26.5,30.6,0.868,100,True
,3,300.0,2025-10-02 20:54:40.663000+00:00,2025-10-02 13:54:40.663,00:00:05.5,75280663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0505059966666666,0.3402421333333333,2.387032,-0.3311494666666666,-0.0500596933333333,0.9352234,-0.0050216966666666,0.0430269266666666,0.1349141,47.59983475,,-0.066,0.034,1918.3,1926.74,-122.82570734,103.00980366,0.0,0.0,81.2,26.46333333333333,30.636666666666667,0.868,100,True
,4,400.0,2025-10-02 20:54:40.763000+00:00,2025-10-02 13:54:40.763,00:00:05.6,75280763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0504502,0.340061,2.38688,-0.331171,-0.0481355,0.934927,0.0871803,-0.0895932,0.172688,47.59983475,,-0.0655425531914893,0.034,1918.3,1926.74,-122.82570734,103.00980366,0.0,0.0,81.2,26.4,30.654255319148938,0.868,100,True
,5,500.0,2025-10-02 20:54:40.863000+00:00,2025-10-02 13:54:40.863,00:00:05.7,75280863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0503967035294117,0.3401290235294117,2.386655176470588,-0.330512094117647,-0.0472806517647058,0.934922388235294,0.0067832329411764,-0.0088193517647058,0.1789150352941176,47.59983475,,-0.0655764705882352,0.034,1918.3,1926.74,-122.82570734,103.00980366,0.0,0.0,81.2,26.4,30.657647058823528,0.868,100,True
,6,600.0,2025-10-02 20:54:40.963000+00:00,2025-10-02 13:54:40.963,00:00:05.8,75280963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0502139688888888,0.3402351777777778,2.3863264444444443,-0.3292216,-0.0460270355555555,0.9349076222222222,0.2539403555555555,0.0512725755555555,0.2565580888888888,47.59983475,,-0.0652888888888889,0.034,1918.3,1926.74,-122.82570734,103.00980366,0.0,0.0,81.2,26.47111111111111,30.7,0.868,100,True
,7,700.0,2025-10-02 20:54:41.063000+00:00,2025-10-02 13:54:41.063,00:00:05.9,75281063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0496833613636363,0.3401999772727272,2.385974090909091,-0.3334550909090909,-0.0469113227272727,0.9348147045454546,0.3094172045454545,0.1681496090909091,0.1729109999999999,47.59983475,,-0.065840909090909,0.034,1918.3,1926.74,-122.82570734,103.00980366,0.0,0.0,81.2,26.41590909090909,30.7,0.868,100,True
,8,800.0,2025-10-02 20:54:41.163000+00:00,2025-10-02 13:54:41.163,00:00:06.0,75281163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.049059304347826,0.3404255,2.3856115217391305,-0.3298375869565217,-0.0458231456521739,0.9349522391304348,0.1602894782608696,-0.0066398108695652,0.0997348304347826,47.59983475,,-0.066,0.034,1918.3,1926.74,-122.82570734,103.00980366,0.0,0.0,81.2,26.4,30.60652173913044,0.868,100,True
,9,900.0,2025-10-02 20:54:41.263000+00:00,2025-10-02 13:54:41.263,00:00:06.1,75281263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0489096947368421,0.3405488631578947,2.385392105263158,-0.3306727894736842,-0.049559187368421,0.9349412315789474,0.0127982505263158,0.2567884726315789,0.1053963726315789,47.59983475,,-0.066,0.034,1918.3,1926.74,-122.82570734,103.00980366,0.0,0.0,81.2,26.4,30.69894736842105,0.868,100,True
,10,1000.0,2025-10-02 20:54:41.363000+00:00,2025-10-02 13:54:41.363,00:00:06.2,75281363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0489225549450549,0.340874032967033,2.3852294505494505,-0.3332891208791209,-0.0431794879120879,0.9350441978021978,0.1055176263736263,-0.0725136087912087,0.1878932637362637,47.59983475,,-0.066,0.034,1918.3,1926.74,-122.82570734,103.00980366,0.0,0.0,81.2,26.4,30.6,0.868,100,True
,11,1100.0,2025-10-02 20:54:41.463000+00:00,2025-10-02 13:54:41.463,00:00:06.3,75281463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0487609526315789,0.3408145789473684,2.385016842105263,-0.3293992631578947,-0.0479793578947368,0.9348327368421052,0.2363042105263158,0.0219289684210526,0.2694193157894737,47.59983475,,-0.066,0.034,1918.3,1926.74,-122.82570734,102.9934108726316,0.0,0.0,81.2,26.4,30.621052631578948,0.868,100,True
,12,1200.0,2025-10-02 20:54:41.563000+00:00,2025-10-02 13:54:41.563,00:00:06.4,75281563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.048298137804878,0.3409100731707317,2.384700731707317,-0.3311233292682927,-0.0451566390243902,0.9347662926829268,0.2053849390243902,-0.0470186134146341,0.1618813536585366,47.59983475,,-0.0663048780487804,0.034,1918.3,1926.74,-122.82570734,102.93193792,0.0,0.0,81.2,26.4,30.7,0.868,100,True
,13,1300.0,2025-10-02 20:54:41.663000+00:00,2025-10-02 13:54:41.663,00:00:06.5,75281663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0479342308510638,0.3409080106382978,2.384391914893617,-0.3295267659574468,-0.0488225542553191,0.9346807340425533,0.1597106595744681,0.050663379787234,0.1970348510638297,47.59983475,,-0.0665425531914893,0.0344574468085106,1918.3,1926.74,-122.82570734,102.93193792,0.0,0.0,81.2,26.4,30.654255319148938,0.868,100,True
,14,1400.0,2025-10-02 20:54:41.763000+00:00,2025-10-02 13:54:41.763,00:00:06.6,75281763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0476524860465116,0.3409577674418604,2.3840861627906977,-0.3307596976744186,-0.0488164360465116,0.9346906395348836,0.1198133104651162,0.0905613511627907,0.1982145697674418,47.59983475,,-0.066,0.0344302325581395,1918.3,1926.74,-122.82570734,102.93193792,0.0,0.0,81.2,26.4,30.6,0.868,100,True
,15,1500.0,2025-10-02 20:54:41.863000+00:00,2025-10-02 13:54:41.863,00:00:06.7,75281863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.04739939,0.3410489,2.383795,-0.3319631,-0.04445917,0.9347338,0.13599249,0.07135463,0.1667583,47.59983475,,-0.066,0.034,1918.3,1926.74,-122.82570734,102.93193792,0.0,0.0,81.2,26.47,30.6,0.868,100,True
,16,1600.0,2025-10-02 20:54:41.963000+00:00,2025-10-02 13:54:41.963,00:00:06.8,75281963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.04696925,0.3410732391304347,2.3834978260869564,-0.3300744239130435,-0.0482538673913043,0.934731304347826,0.272428152173913,0.0508038619565217,0.2107574456521739,47.59983475,,-0.066,0.0347934782608695,1918.3,1926.74,-122.82570734,102.93193792,0.0,0.0,81.2,26.42065217391304,30.67934782608696,0.868,100,True
,17,1700.0,2025-10-02 20:54:42.063000+00:00,2025-10-02 13:54:42.063,00:00:06.9,75282063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.046560004347826,0.340995402173913,2.383175869565217,-0.3295504673913043,-0.0462019358695652,0.9346346739130434,0.1850915434782608,0.1132915260869565,0.2941636847826087,47.59983475,,-0.066,0.0341195652173913,1918.3,1926.74,-122.82570734,102.93193792,0.0,0.0,81.2,26.4,30.7,0.868,100,True
,18,1800.0,2025-10-02 20:54:42.163000+00:00,2025-10-02 13:54:42.163,00:00:07.0,75282163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0462147348484848,0.3410416363636364,2.382937727272727,-0.3306921136363636,-0.0463723257575757,0.9346523409090908,0.2590555303030303,0.1211953106060606,0.2486150681818181,47.59983475,,-0.066,0.034,1918.3,1926.74,-122.82570734,102.93193792,0.0,0.0,81.2,26.4,30.63257575757576,0.868,100,True
,19,1900.0,2025-10-02 20:54:42.263000+00:00,2025-10-02 13:54:42.263,00:00:07.1,75282263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0456549680412371,0.3414374432989691,2.382575567010309,-0.3320275567010309,-0.0446972360824742,0.9349155670103092,0.2169458144329896,0.2851037422680412,0.1864457216494845,47.59983475,,-0.0654123711340206,0.034,1918.3,1926.74,-122.82570734,102.93193792,0.0,0.0,81.2,26.4,30.6,0.868,100,True
,20,2000.0,2025-10-02 20:54:42.363000+00:00,2025-10-02 13:54:42.363,00:00:07.2,75282363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0450953075949367,0.3421129620253165,2.3821925316455697,-0.3308981139240506,-0.0447658139240506,0.935282911392405,0.156912,0.5066420379746835,0.1604674050632911,47.59983475,,-0.065759493670886,0.034759493670886,1918.3,1926.74,-122.82570734,102.93193792,0.0,0.0,81.2,26.4,30.6,0.868,100,True
,21,2100.0,2025-10-02 20:54:42.463000+00:00,2025-10-02 13:54:42.463,00:00:07.3,75282463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0450357134228187,0.3427913422818792,2.382048456375839,-0.3330115570469799,-0.0476135966442953,0.9355250268456377,0.0465137838926174,0.6930079597315436,0.206447932885906,47.59983475,,-0.066,0.0344563758389261,1918.3,1926.74,-122.82570734,102.93193792,0.0,0.0,81.2,26.4,30.6,0.868,100,True
,22,2200.0,2025-10-02 20:54:42.563000+00:00,2025-10-02 13:54:42.563,00:00:07.4,75282563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0449618841269841,0.3436426349206349,2.381908888888889,-0.335485746031746,-0.0469337666666666,0.935685634920635,-0.0107466952380952,0.6611746349206349,0.2438682857142857,47.59983475,,-0.0657460317460317,0.034,1918.3,1926.74,-122.82570734,102.96688896761904,0.0,0.0,81.2,26.4,30.6,0.868,100,True
