sample_idx,ts_utc,ms_today,speed_meters_per_sec,erpm,duty_cycle,current_in,current_motor,d_axis_current,q_axis_current,roll,pitch,yaw,accX,accY,accZ,gyroX,gyroY,gyroZ,fault_code,d_axis_voltage,q_axis_voltage,tacho_meters,tacho_abs_meters,input_voltage,temp_mos_max,temp_motor,battery_level
0,2025-09-27 23:27:14.485000+00:00,84434485,0.0,0.0,-0.001,0.0,0.0,-0.01,-0.06,-0.00327637,0.29101,-2.25095,-0.291913,-0.0148883,0.948235,-1.72954,0.0434008,-0.512549,0.0,0.004,-0.049,8629.83,8779.72,77.0,34.8,58.5,0.56
1,2025-09-27 23:27:14.585000+00:00,84434585,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.050325833333333334,0.35914976344086025,0.743493247311828,-0.3532704301075269,-0.0535320752688172,0.9289489032258065,0.16425656559139784,0.04777595376344086,0.4297411935483871,,-0.061,-0.0410752688172043,8629.83,8779.72,77.0,34.70752688172043,58.5,0.56
2,2025-09-27 23:27:14.685000+00:00,84434685,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.05036159638554217,0.3593934698795181,0.7430899036144578,-0.3497125301204819,-0.052874048192771084,0.9288537590361445,-0.06969021445783133,0.02848972168674698,0.2555153132530121,,-0.06116867469879518,-0.04183132530120482,8629.83,8779.72,77.0,34.78313253012048,58.5,0.56
3,2025-09-27 23:27:14.785000+00:00,84434785,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.05069286179775281,0.3595733370786517,0.7427291011235955,-0.3489891685393258,-0.05382614719101123,0.9287250898876405,-0.16134132584269661,0.1881888202247191,0.26192188764044944,,-0.062,-0.041,8629.83,8779.72,77.0,34.7,58.5,0.56
4,2025-09-27 23:27:14.885000+00:00,84434885,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.05093182134831461,0.35956362921348317,0.7423588539325843,-0.350104606741573,-0.05665202584269663,0.9285379213483146,-0.052970626966292136,-0.048190865168539335,0.22167096629213484,,-0.062,-0.04147191011235955,8629.83,8779.72,77.0,34.7,58.5,0.56
5,2025-09-27 23:27:14.985000+00:00,84434985,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.05103463541666667,0.35935563541666665,0.74195775,-0.35057261458333333,-0.0549024125,0.928329375,0.024203170833333332,-0.15873917708333332,0.25651388541666664,,-0.062,-0.04144791666666667,8629.83,8779.72,77.0,34.755208333333336,58.5,0.56
6,2025-09-27 23:27:15.085000+00:00,84435085,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.05108540597014925,0.3592318507462686,0.7416146343283582,-0.34835944029850746,-0.051380443283582086,0.9282775970149254,0.0296837,-0.009227059701492513,0.31745531343283584,,-0.06157462686567164,-0.04142537313432836,8629.83,8779.72,77.0,34.757462686567166,58.5,0.56
7,2025-09-27 23:27:15.185000+00:00,84435185,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.05159541648351648,0.35897023076923074,0.7413623626373627,-0.34438164835164836,-0.0608002065934066,0.9281708901098902,-0.17501091648351644,0.17310212087912089,0.20922015384615383,,-0.061,-0.04174725274725275,8629.83,8779.72,77.0,34.7,58.5,0.56
8,2025-09-27 23:27:15.285000+00:00,84435285,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.05290814,0.358901,0.7410503176470589,-0.34366849411764705,-0.07866155764705883,0.9283350705882354,-0.5301067176470589,0.22438521176470588,0.031004070588235302,,-0.061376470588235296,-0.041,8629.83,8779.72,77.0,34.7,58.5,0.56
9,2025-09-27 23:27:15.385000+00:00,84435385,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.052989179347826085,0.35965921739130435,0.7405562717391305,-0.3482250652173913,-0.06902664456521738,0.9290375217391305,0.13347020652173913,0.36529990217391306,0.23424332608695653,,-0.062,-0.041,8629.83,8779.72,77.0,34.7,58.5,0.56
10,2025-09-27 23:27:15.485000+00:00,84435485,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.05282559782608696,0.3597848152173913,0.7400696413043478,-0.3481663695652174,-0.06319394891304347,0.9289949130434783,0.33785379347826083,-0.0030265108695652354,0.30410267391304346,,-0.062,-0.04159782608695652,8629.83,8779.72,77.0,34.7,58.5,0.56
11,2025-09-27 23:27:15.585000+00:00,84435585,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.052251603529411765,0.3596135764705882,0.7394368,-0.34835156470588235,-0.05667336588235294,0.9287300941176471,0.37094823529411763,-0.33090927058823527,0.4131623411764706,,-0.062,-0.042,8629.83,8779.72,77.0,34.7,58.5,0.56
12,2025-09-27 23:27:15.685000+00:00,84435685,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.051855402173913046,0.3591607608695652,0.7389009130434783,-0.35261934782608695,-0.04882497826086957,0.928455652173913,0.20284417391304346,-0.18999115217391305,0.32549989130434787,,-0.06115217391304348,-0.04115217391304348,8629.83,8779.72,77.0,34.7,58.5,0.56
13,2025-09-27 23:27:15.785000+00:00,84435785,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.05165951276595745,0.3587850212765958,0.7384311063829787,-0.3479290638297872,-0.049417168085106385,0.9282840212765957,0.09975341063829786,-0.22285948936170213,0.2492017659574468,,-0.06191489361702127,-0.041914893617021276,8629.83,8779.72,77.0,34.7,58.5,0.56
14,2025-09-27 23:27:15.885000+00:00,84435885,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.05150055230769231,0.3584892,0.7379481538461539,-0.3492851076923077,-0.05070102,0.9282964769230769,0.1019573523076923,-0.07925438153846151,0.34102081538461543,,-0.061292307692307695,-0.042,8629.83,8779.72,77.0,34.7,58.5,0.56
