ms_today;input_voltage;temp_mos_max;temp_mos_1;temp_mos_2;temp_mos_3;temp_motor;current_motor;current_in;d_axis_current;q_axis_current;erpm;duty_cycle;amp_hours_used;amp_hours_charged;watt_hours_used;watt_hours_charged;tachometer;tachometer_abs;encoder_position;fault_code;vesc_id;d_axis_voltage;q_axis_voltage;ms_today_setup;amp_hours_setup;amp_hours_charged_setup;watt_hours_setup;watt_hours_charged_setup;battery_level;battery_wh_tot;current_in_setup;current_motor_setup;speed_meters_per_sec;tacho_meters;tacho_abs_meters;num_vescs;ms_today_imu;roll;pitch;yaw;accX;accY;accZ;gyroX;gyroY;gyroZ;gnss_posTime;gnss_lat;gnss_lon;gnss_alt;gnss_gVel;gnss_vVel;gnss_hAcc;gnss_vAcc;
82494302;80.8;32.2;30.9;0;32.1;42.5;0.27;0.09;-0.05;0.2;0;0.001;0.8793;0.1377;69.212;11.2883;241880;244190;295.2;0;1;-0.027;0.548;82494177;0.8793;0.1377;69.212;11.2883;0.844;531.307;0;0;0;2279.66;2301.44;1;82415413;0.747444;0.0991167;2.4987;-0.365453;-0.28886;0.355127;-153.832;-86.9611;55.1838;82492999;47.61156468;-122.75123535;97.99482300;0.01394200;0.00000000;4.79004002;3.77547169;
82494394;80.8;32.2;30.8;0;32.1;42.5;0;0;0;0;0;0.001;0.8793;0.1377;69.212;11.2883;241880;244190;295.2;0;1;0.061;0.042;82494303;0.8793;0.1377;69.212;11.2883;0.844;531.326;0;0;0;2279.66;2301.44;1;82494304;-0.00752062;0.335332;2.19491;-0.329934;0.00149636;0.939113;0.739241;0.402672;0.391529;82492999;47.61156468;-122.75123535;97.99482300;0.01394200;0.00000000;4.79004002;3.77547169;
82494495;80.8;32.1;30.8;0;32.1;42.5;0;0;0;0;0;0.001;0.8793;0.1377;69.212;11.2883;241880;244190;295.2;0;1;0.061;0.043;82494495;0.8793;0.1377;69.212;11.2883;0.844;531.353;0;0;0;2279.66;2301.44;1;82494396;-0.00830715;0.335622;2.19441;-0.326463;0.00253437;0.938954;0.226644;0.190267;0.157587;82492999;47.61156468;-122.75123535;97.99482300;0.01394200;0.00000000;4.79004002;3.77547169;
82494578;80.8;32.2;30.8;0;32.2;42.5;0;0;0;0;0;0.001;0.8793;0.1377;69.212;11.2883;241880;244190;295.2;0;1;0.061;0.042;82494495;0.8793;0.1377;69.212;11.2883;0.844;531.353;0;0;0;2279.66;2301.44;1;82494496;-0.00836599;0.33576;2.19411;-0.324936;0.00113425;0.938721;0.0235659;0.0511758;0.247101;82492999;47.61156468;-122.75123535;97.99482300;0.01394200;0.00000000;4.79004002;3.77547169;
82494713;80.8;32.1;30.9;0;32.1;42.5;0;0;0;0;0;0.001;0.8793;0.1377;69.212;11.2883;241880;244190;295.2;0;1;0.061;0.042;82494664;0.8793;0.1377;69.212;11.2883;0.844;531.363;0;0;0;2279.66;2301.44;1;82494579;-0.00807081;0.335426;2.19384;-0.325951;0.00503394;0.938185;-0.197866;-0.650027;0.133161;82492999;47.61156468;-122.75123535;97.99482300;0.01394200;0.00000000;4.79004002;3.77547169;
82494800;80.8;32.2;30.8;0;32.1;42.5;0;0;0;0;0;0.001;0.8793;0.1377;69.212;11.2883;241880;244190;295.2;0;1;0.061;0.042;82494759;0.8793;0.1377;69.212;11.2883;0.844;531.363;0;0;0;2279.66;2301.44;1;82494715;-0.0083245;0.335165;2.19334;-0.327563;0.00642411;0.937855;0.232762;0.120984;0.228032;82493999;47.61156408;-122.75123547;97.71068838;0.01266850;0.00000000;4.72213030;3.73644423;
82494889;80.8;32.1;30.9;0;32.2;42.5;0;0;0;0;0;0.001;0.8793;0.1377;69.212;11.2883;241880;244190;295.2;0;1;0.061;0.042;82494847;0.8793;0.1377;69.212;11.2883;0.844;531.363;0;0;0;2279.66;2301.44;1;82494801;-0.0086896;0.33507;2.19293;-0.326548;-0.00137938;0.937735;0.302494;-0.0890673;0.224064;82493999;47.61156408;-122.75123547;97.71068838;0.01266850;0.00000000;4.72213030;3.73644423;
82494980;80.8;32.1;30.8;0;32.1;42.5;0;0;0;0;0;0.001;0.8793;0.1377;69.212;11.2883;241880;244190;295.2;0;1;0.062;0.042;82494940;0.8793;0.1377;69.212;11.2883;0.844;531.369;0;0;0;2279.66;2301.44;1;82494890;-0.00906497;0.334965;2.1925;-0.326651;0.00842532;0.937743;-0.0400484;0.0519521;0.322947;82493999;47.61156408;-122.75123547;97.71068838;0.01266850;0.00000000;4.72213030;3.73644423;
82495070;80.8;32.1;30.8;0;32.2;42.5;0;0;0;0;0;0.001;0.8793;0.1377;69.212;11.2883;241880;244190;295.2;0;1;0.061;0.042;82495032;0.8793;0.1377;69.212;11.2883;0.844;531.388;0;0;0;2279.66;2301.44;1;82495031;-0.00905099;0.334932;2.19218;-0.327256;0.00755019;0.937845;0.0235659;-0.0888169;0.248534;82493999;47.61156408;-122.75123547;97.71068838;0.01266850;0.00000000;4.72213030;3.73644423;
82495163;80.8;32.2;30.8;0;32.2;42.5;0;0;0;0;0;0.001;0.8793;0.1377;69.212;11.2883;241880;244190;295.2;0;1;0.061;0.042;82495116;0.8793;0.1377;69.212;11.2883;0.844;531.395;0;0;0;2279.66;2301.44;1;82495160;-0.0092356;0.334681;2.19162;-0.323563;0.000635016;0.937931;0.169148;-0.158225;0.306744;82493999;47.61156408;-122.75123547;97.71068838;0.01266850;0.00000000;4.72213030;3.73644423;
82495256;80.8;32.2;30.8;0;32.2;42.5;0;0;0;0;0;0.001;0.8793;0.1377;69.212;11.2883;241880;244190;295.2;0;1;0.061;0.042;82495207;0.8793;0.1377;69.212;11.2883;0.844;531.395;0;0;0;2279.66;2301.44;1;82495160;-0.0092356;0.334681;2.19162;-0.323563;0.000635016;0.937931;0.169148;-0.158225;0.306744;82493999;47.61156408;-122.75123547;97.71068838;0.01266850;0.00000000;4.72213030;3.73644423;
82495342;80.8;32.1;30.8;0;32.2;42.5;0;0;0;0;0;0.001;0.8793;0.1377;69.212;11.2883;241880;244190;295.2;0;1;0.061;0.043;82495293;0.8793;0.1377;69.212;11.2883;0.844;531.396;0;0;0;2279.66;2301.44;1;82495257;-0.00956245;0.334569;2.19122;-0.322403;0.00108685;0.938069;0.23888;-0.088291;0.29991;82493999;47.61156408;-122.75123547;97.71068838;0.01266850;0.00000000;4.72213030;3.73644423;
82495435;80.8;32.1;30.9;0;32.2;42.5;0;0;0;0;0;0.001;0.8793;0.1377;69.212;11.2883;241880;244190;295.2;0;1;0.061;0.043;82495385;0.8793;0.1377;69.212;11.2883;0.844;531.396;0;0;0;2279.66;2301.44;1;82495343;-0.0102585;0.334376;2.19077;-0.32694;0.00508998;0.93806;0.884823;-0.15671;0.454754;82493999;47.61156408;-122.75123547;97.71068838;0.01266850;0.00000000;4.72213030;3.73644423;
82495518;80.8;32.1;30.9;0;32.2;42.5;0;0;0;0;0;0.001;0.8793;0.1377;69.212;11.2883;241880;244190;295.2;0;1;0.061;0.043;82495477;0.8793;0.1377;69.212;11.2883;0.844;531.396;0;0;0;2279.66;2301.44;1;82495436;-0.0115351;0.334271;2.19012;-0.328109;0.00647474;0.938239;0.657273;-0.0186704;0.262488;82493999;47.61156408;-122.75123547;97.71068838;0.01266850;0.00000000;4.72213030;3.73644423;
